"Instytucja wybierana";"Kod terytorialny";"Nr okręgu";"Liczba mandatów";"Liczba komitetów";"Liczba kandydatów";"Liczba wyborców";"Granice okręgu wyborczego"
"Sejm";"SJM/36";"36";"12";"8";"186";"797470";"Powiaty: gostyński, jarociński, kaliski, kępiński, kościański, krotoszyński, leszczyński, ostrowski, ostrzeszowski, pleszewski, rawicki, Miasta na prawach powiatu: Kalisz, Leszno"
"Sejm";"SJM/37";"37";"9";"9";"152";"616690";"Powiaty: gnieźnieński, kolski, koniński, słupecki, średzki, śremski, turecki, wrzesiński, Miasto na prawach powiatu: Konin"
"Sejm";"SJM/38";"38";"9";"7";"119";"609423";"Powiaty: chodzieski, czarnkowsko-trzcianecki, grodziski, międzychodzki, nowotomyski, obornicki, pilski, szamotulski, wągrowiecki, wolsztyński, złotowski"
"Sejm";"SJM/39";"39";"10";"7";"137";"686866";"Powiat: poznański, Miasto na prawach powiatu: Poznań"
"Sejm";"SJM/40";"40";"8";"7";"111";"521444";"Powiaty: białogardzki, choszczeński, drawski, kołobrzeski, koszaliński, sławieński, szczecinecki, świdwiński, wałecki, Miasto na prawach powiatu: Koszalin"
"Sejm";"SJM/41";"41";"12";"9";"208";"837243";"Powiaty: goleniowski, gryficki, gryfiński, kamieński, łobeski, myśliborski, policki, pyrzycki, stargardzki, Miasta na prawach powiatu: Szczecin, Świnoujście (oraz obwody głosowania na polskich statkach morskich)"
"Senat";"SNT/1";"1";"1";"6";"6";"232701";"powiaty: bolesławiecki, lubański, lwówecki, zgorzelecki"
"Senat";"SNT/2";"2";"1";"5";"5";"238761";"powiaty: jaworski, jeleniogórski, kamiennogórski, złotoryjski  oraz miasto na prawach powiatu: Jelenia Góra"
"Senat";"SNT/3";"3";"1";"5";"5";"330527";"powiaty: głogowski, legnicki, lubiński, polkowicki  oraz miasto na prawach powiatu: Legnica"
"Senat";"SNT/4";"4";"1";"6";"6";"276552";"powiaty: świdnicki, wałbrzyski"
"Senat";"SNT/5";"5";"1";"5";"5";"280739";"powiaty: dzierżoniowski, kłodzki, ząbkowicki"
